Title,Year,Station,Statistic,Month,Value,Latitude ,logitude,Unit,Sourse
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Jan,22.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Feb,24.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Mar,28.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Apr,31.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,May,30.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Jun,28.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Jul,27.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Aug,27.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Sep,27.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Oct,25.7,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Nov,23.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean,Dec,23.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Jan,29.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Feb,33,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Mar,37.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Apr,39.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,May,37.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Jun,34.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Jul,32.7,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Aug,32.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Sep,32.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Oct,30.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Nov,30.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Dec,31.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Jan,17.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Feb,18.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Mar,21.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
